Rank	Player Name	Team	Points	Errors	Attempts	Average per match	Success %	Total
1	Ndiaye	FRA	190	75	179	15.83	42.79	444
2	B. Martinez	DOM	181	40	200	15.08	42.99	421
3	Wu M.J.	CHN	178	47	177	17.80	44.28	402
4	Alsmeier	GER	170	57	162	14.17	43.70	389
5	Wada	JPN	166	47	146	13.83	46.24	359
6	Gaila	DOM	162	58	183	13.50	40.20	403
6	Brancuska	CZE	162	38	164	13.50	44.51	364
7	Yoshino	JPN	158	55	150	13.17	43.53	363
8	Zhuang Y.S.	CHN	157	43	208	14.27	38.48	408
9	Dambrink	NED	152	50	145	12.67	43.80	347
10	Ana Cristina	BRA	147	28	121	14.70	49.66	296
11	Ishikawa	JPN	146	43	152	12.17	42.82	341
12	Egonu	ITA	145	42	123	12.08	46.77	310
13	K. Pimpichaya	THA	144	53	159	13.09	40.45	356
14	Cazaute	FRA	143	51	151	17.88	41.45	345
15	Mlejnkova	CZE	140	41	195	11.67	37.23	376
15	Sohwi	KOR	140	61	233	11.67	32.26	434
16	Stysiak	POL	137	47	137	11.42	42.68	321
17	Martin	BEL	135	47	163	11.25	39.13	345
18	Bergmann	BRA	134	45	150	11.17	40.73	329
19	Milanova A.	BUL	129	55	163	10.75	37.18	347
20	Herbots	BEL	124	48	192	15.50	34.07	364
21	Ivanović	SRB	120	57	127	10.00	39.47	304
22	Eggleston	USA	117	41	121	10.64	41.94	279
23	Grozer	CZE	111	48	196	9.25	31.27	355
24	Łukasik	POL	108	30	125	9.00	41.06	263
25	Uzelac	SRB	106	35	114	13.25	41.57	255
26	Seoyoung	KOR	104	56	175	8.67	31.04	335
27	Gong X.Y.	CHN	102	18	114	9.27	43.59	234
28	Atanasijević	BUL	98	35	132	12.25	36.98	265
28	Johnson	CAN	98	38	141	8.91	35.38	277
29	Franklin	USA	97	28	126	8.82	38.65	251
30	Yaprak	TUR	96	25	103	8.00	42.86	224
31	Vargas	TUR	95	32	123	11.88	38.00	250
32	Smarzek	POL	94	25	77	7.83	47.96	196
33	M. Skinner	USA	93	49	77	9.30	42.47	219
34	Mitrovic	CAN	91	29	120	8.27	37.92	240
35	Jehlarova	CZE	87	29	76	7.25	45.31	192
36	Vos	NED	86	45	110	7.17	35.68	241
37	S. Warisara	THA	85	28	150	7.73	32.32	263
37	Fahr	ITA	85	11	51	7.08	57.82	147
38	Degradi	ITA	84	23	105	7.00	39.62	212
38	Karakurt	TUR	84	31	83	10.50	42.42	198
39	Antropova	ITA	83	18	54	10.38	53.55	155
40	Peña Isabel	DOM	82	40	136	6.83	31.78	258
40	Stoyanova	BUL	82	40	118	6.83	34.17	240
41	Weitzel	GER	81	9	62	6.75	53.29	152
42	Haewegene	FRA	80	34	83	6.67	40.61	197
42	Kok	NED	80	38	119	6.67	33.76	237
42	Seonwoo	KOR	80	60	116	6.67	31.25	256
43	Weske	GER	79	37	105	6.58	35.75	221
44	Kindermann	GER	78	40	104	6.50	35.14	222
45	N. Thatdao	THA	75	12	85	6.82	43.60	172
45	Czyrniańska	POL	75	22	91	6.25	39.89	188
45	Guezen	CAN	75	34	91	6.82	37.50	200
46	J. Martinez	DOM	74	15	52	6.17	52.48	141
47	Karutasu	TUR	73	19	64	18.25	46.79	156
47	Smrek	CAN	73	36	99	6.64	35.10	208
47	Maglio	CAN	73	11	65	6.64	48.99	149
48	Van De Vosse	NED	70	24	73	5.83	41.92	167
48	Bukilić	SRB	70	41	71	5.83	38.46	182
48	Bošković	SRB	70	21	57	17.50	47.30	148
49	Dimitrova N.	BUL	69	19	41	8.62	53.49	129
49	Van Ryk	CAN	69	34	35	17.25	50.00	138
50	Wang Y.Y.	CHN	67	15	57	6.09	48.20	139
51	Stuut	NED	65	18	64	5.42	44.22	147
51	Shimamura	JPN	65	9	50	6.50	52.42	124
52	Dangubić	SRB	63	25	91	5.25	35.20	179
53	Korneluk	POL	62	12	35	5.17	56.88	109
53	Lemmens	BEL	62	17	54	5.17	46.62	133
53	Kurtagić	SRB	62	22	51	5.17	45.93	135
54	Vuchkova	BUL	61	14	55	7.62	46.92	130
55	S. Thanacha	THA	60	22	77	5.45	37.74	159
55	Julia	BRA	60	11	33	5.00	57.69	104
56	Baladın	TUR	59	23	55	7.38	43.07	137
56	Aleksić	SRB	59	11	38	7.38	54.63	108
57	Rotar	FRA	56	21	86	4.67	34.36	163
58	Daalderop	NED	55	15	89	4.58	34.59	159
58	Dahyeon	KOR	55	14	56	4.58	44.00	125
59	A. Skinner	USA	54	19	47	18.00	45.00	120
60	Bukovska	CZE	53	24	56	4.42	39.85	133
